id,datum,jahr,ort,vortragstitel,anlass,ga,zyklus
18881109,09.11.1888,1888,Wien,Goethe als Vater einer neuen Ästhetik,"Vortrag im ""Goethe-Verein""",271,
18891122,22.11.1889,1889,Wien,"Was Weimars Goethe-Archiv uns ist, auf Grund persönlicher Erfahrungen","Öffentlicher Vortrag im ""Goethe-Verein""",68c,
18891229,29.12.1889,1889,Hermannstadt,Die Frau im Lichte der Goetheschen Weltanschauung. Ein Beitrag zur Frauenfrage,Öffentlicher Vortrag,68c,
18911127,27.11.1891,1891,Wien,Über das Geheimnis in Goethes Rätselmärchen in den «Unterhaltungen deutscher Ausgewanderter»,"Öffentlicher Vortrag im im ""Goethe-Verein""",68c,
18920222,22.02.1892,1892,Weimar,Weimar im Mittelpunkt des deutschen Geisteslebens,Vortrag in einem Vortragszyklus über «Die Hauptströmungen des deutschen Geisteslebens» mit verschiedenen Rednern (veranstaltet von L. Thelemann) / Öffentlicher Vortrag,68c,
18930220,20.02.1893,1893,Wien,Einheitliche Naturanschauung und Erkenntnisgrenzen,"Vortrag im ""Wissenschaftlichen Club""",30,
18930320,20.03.1893,1893,Weimar,Hypnotismus mit Berücksichtigung des Spiritismus,,68d,
18930827,27.08.1893,1893,Frankfurt,Goethes Naturanschauung gemäß den neuesten Veröffentlichungen des Goethe-Archis,Vortrag zur Festfeier im Freien Deutschen Hochstift,30,
18940119,19.01.1894,1894,Weimar,"Genie, Irrsinn und Verbrechertum","populär-wissenschaftlicher Vortrag, veranstaltet vom ""Volksbildungsverein""",85,
18940504,04.05.1894,1894,Weimar,Rede für Richard Strauss,"Feier nach der Uraufführung der Oper ""Guntram""",,
18950401,01.04.1895,1895,Weimar,,Inoffizelle Ansprache bei einer Bismarckfeier,85,
18971209,09.12.1897,1897,Berlin,Die literarische Revolution um die Mitte des 19. Jahrhunderts,"Vortragszyklus in der ""Freien literarischen Gesellschaft""",33,
18971219,19.12.1897,1897,Leipzig,Goethes Weltanschauung und die Gegenwart,"Vortrag in der ""Literarischen Gesellschaft""",32,
18971221,21.12.1897,1897,Berlin,Von Heinrich Laube zu Paul Heyse,"Vortragszyklus in der ""Freien literarischen Gesellschaft""",33,
18980104,04.01.1898,1898,Berlin,Das geistige Leben in Deutschland vor dem deutsch-französischen Kriege,Vortragszyklus in der «Freien literarischen Gesellschaft»,33,
18980118,18.01.1898,1898,Berlin,Die literarischen Kämpfe im neuen Reich,"Vortragszyklus in der ""Freien literarischen Gesellschaft""",33,
18980123,23.01.1898,1898,Berlin,Conférence vor der Aufführung von «L'Intruse» (Der Ungebetene) von Maurice Maeterlinck,Conférence über Maurice Maeterlinck vor der Aufführung seines «L'Intruse» durch die «Dramatische Gesellschaft» im Residenz-Theater,29,
18980201,01.02.1898,1898,Berlin,Die Bedeutung Ibsens und Nietzsches für das moderne Geistesleben,Vortragszyklus in der «Freien literarischen Gesellschaft»,33,
18980215,15.02.1898,1898,Berlin,Der Einfluß der Weltanschauung einer Zeit auf die Technik der Dichtung,Vortragszyklus in der «Freien literarischen Gesellschaft»,33,
18980308,08.03.1898,1898,Berlin,Die Gegenwart der Literatur,Vortragszyklus in der «Freien literarischen Gesellschaft»,33,
18981110,10.11.1898,1898,Berlin,Votum Rudolf Steiners anlässlich Theaterskandal bei der Erstaufführung von Halbes «Eroberer»,,,
18981212,12.12.1898,1898,Berlin,Hochschulpädagogik und öffentliches Leben,Vortrag für den «Verband für Hochschulpädagogik»,31,
18990313,13.03.1899,1899,Berlin,Conference über lyrische Dichtungen von Nietzsche und Maeterlinck,Conférence in der «Freien literarischen Gesellschaft» über die Lyrik Nietzsches und zwei Balladen Maeterlincks,29,
18990828,28.08.1899,1899,Berlin,Goethe und die Gegenwart.,Goethe-Feier der «Freien Volksbühne» Öffentlicher Vortrag,68c,
18990926,26.09.1899,1899,Berlin,"Faust, eine Lebensbeichte",Vortrag für den «Verein zur Förderung der Kunst»,,
18991003,03.10.1899,1899,Berlin,"Theodor Storm, Conrad Ferdinand Meyer, Gottfried Keller, Johann Georg Fischer, Theodor Fontane, Paul Heyses, Martin Greif, Jakob Julius David, Ferdinand von Saar, Emil Prinz von Schoenaich-Carolath, Ernst von Wildenbruch, Alberta von Puttkammer","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
18991010,10.10.1899,1899,Berlin,"Heinrich Hart, Julius Hart, Detlev von Liliencron, Otto Julius Bierbaum, Gustav Falke, Otto Ernst, Arthur von Wallpach, Wilhelm von Scholz, Hugo Salus, Otto Ernst Hartlebens, Ferdinand Avenarius","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
18991024,24.10.1899,1899,Berlin,"Ludwig Jacobowski, Martin Boelitz, Paul Remer, Kurt Geuckes, Fritz Lienhard, Gabriele Reuter, Helen Böhlau, Rosa Mayreder, Ricarda Huch, Anna Ritter, Marie Stona, Thekla Lingen","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
18991114,14.11.1899,1899,Berlin,"Friedrich Nietzsche, Hermann Conradis, Richard Dehmels, Michael Georg Conrad, Ludwig Scharf, Christian Morgenstern, Franz Evers, Hans Benzmann, Max Brun","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
18991121,21.11.1899,1899,Berlin,"J. H. Mackay, Karl Henkell, J. Hart, Bruno Wille, Gustav Renner, Emanuel von Bodmann, Paul Bornstein, Clara Müller, Ada Negri","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
18991205,05.12.1899,1899,Berlin,"Stephan George, Hugo von Hofmannsthal, Caesar Flaischlen, Johannes Schlaf, Arno Holz, Rainer Maria Rilke, Hans Bethge, Richard Schaukal. Humoristisch-parodistischer Ausklang: Parodien von Otto Erich Hartleben, Arno Holz, Otto Ernst, Otto Julius Bierbaum, Paul Scheerbart","Vortragszyklus für den «Verein zur Förderung der Kunst». Sechs Vorträge, gehalten von Max Laurence, mit einleitenden literaturhistorischen Würdigungen von Dr. Rud. Steiner",33,
19000317,17.03.1900,1900,Berlin,"Methoden, das Gesetz von der Erhaltung der Kraft im Hochschulunterricht zu behandeln",Vortrag für den «Verband für Hochschulpädagogik».,85,
19000617,17.06.1900,1900,Berlin,Gutenbergs Tat als Markstein der Kultur-Entwicklung,Festrede im «Verein der Berliner Buchdrucker und Schriftgießer» zum 500jährigen Gutenberg-Jubiläum,31,
19000913,13.09.1900,1900,Berlin,Die Persönlichkeit Friedrich Nietzsches,Gedächnisrede im Kreise der «Kommenden»,5,
19000915,15.09.1900,1900,Berlin,"Friedrich Nietzsche, der Philosoph und Dichter",Nietzsche-Gedenkfeier des «Vereins zur Förderung der Kunst»,33,
19000919,19.09.1900,1900,Berlin,Nietzsche einsame Geisteswanderung,"Moderner Vortrags-Abend: Nietzsche-Feier, veranstaltet von Dr. R. Steiner und Kurt Holm. Rezitationen von Kurt Holm. Einleitende Ausführungen von Dr. Rud. Steiner",5,
19001125,25.11.1900,1900,Berlin,Friedrich Nietzsche als Dichter der modernen Weltanschauung,Vorträge in der «Freien Literarischen Gesellschaft»,5,
19010107,07.01.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010114,14.01.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010121,21.01.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010128,28.01.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010204,04.02.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010211,11.02.1901,1901,Berlin,Die griechischen Weltanschauungen,Welt- und Lebensanschauungen von den ältesten Zeiten bis zur Gegenwart / Vorträge in der Arbeiterbildungsschule,51,
19010213,13.02.1901,1901,Berlin,Über Haeckels Welträtsel,Vortrag vor Studenten,51,
19010217,17.02.1901,1901,Berlin,Freiligrath-Abend,Einleitender Vortrag zum «Freiligrath-Abend» der Arbeiterbildungsschule,32,
